,target,source,avg_trade_qtl
0,Andhra Pradesh,Andhra Pradesh,3693217.0416666665
1,Andaman & Nicobar Islands,Andhra Pradesh,0.0
2,Arunachal Pradesh,Andhra Pradesh,1575.0
3,Assam,Andhra Pradesh,392279.3333333333
4,Bihar,Andhra Pradesh,171476.66666666666
5,Chattisgarh,Andhra Pradesh,25802.825
6,Chandigarh,Andhra Pradesh,0.0
7,Daman & Diu,Andhra Pradesh,0.0
8,Delhi,Andhra Pradesh,13054.166666666666
9,Dadra & Nagar Haveli,Andhra Pradesh,0.0
10,Goa,Andhra Pradesh,0.0
11,Gujarat,Andhra Pradesh,29285.0
12,Himachal Pradesh,Andhra Pradesh,0.0
13,Haryana,Andhra Pradesh,221.0
14,Jharkhand,Andhra Pradesh,79084.83333333333
15,Jammu & Kashmir,Andhra Pradesh,1051.6666666666667
16,Kerala,Andhra Pradesh,8956280.666666666
17,Karnataka,Andhra Pradesh,4529505.416666667
18,Lakshadeep,Andhra Pradesh,0.0
19,Maharashtra,Andhra Pradesh,115347.05833333333
20,Meghalaya,Andhra Pradesh,0.0
21,Manipur,Andhra Pradesh,1430.0
22,Madhya Pradesh,Andhra Pradesh,0.0
23,Mizoram,Andhra Pradesh,4245.0
24,Nagaland,Andhra Pradesh,22265.916666666668
25,Odisha,Andhra Pradesh,0.0
26,Punjab,Andhra Pradesh,31953.25
27,Puducherry,Andhra Pradesh,0.0
28,Rajasthan,Andhra Pradesh,0.0
29,Sikkim,Andhra Pradesh,0.0
30,Telangana,Andhra Pradesh,0.0
31,Tamil Nadu,Andhra Pradesh,17109056.416666668
32,Tripura,Andhra Pradesh,8031.666666666667
33,Uttarakhand,Andhra Pradesh,0.0
34,Uttar Pradesh,Andhra Pradesh,4417.5
35,West Bengal,Andhra Pradesh,494786.0833333333
36,Andhra Pradesh,Andaman & Nicobar Islands,0.0
37,Andaman & Nicobar Islands,Andaman & Nicobar Islands,0.0
38,Arunachal Pradesh,Andaman & Nicobar Islands,0.0
39,Assam,Andaman & Nicobar Islands,0.0
40,Bihar,Andaman & Nicobar Islands,0.0
41,Chattisgarh,Andaman & Nicobar Islands,0.0
42,Chandigarh,Andaman & Nicobar Islands,0.0
43,Daman & Diu,Andaman & Nicobar Islands,0.0
44,Delhi,Andaman & Nicobar Islands,0.0
45,Dadra & Nagar Haveli,Andaman & Nicobar Islands,0.0
46,Goa,Andaman & Nicobar Islands,0.0
47,Gujarat,Andaman & Nicobar Islands,0.0
48,Himachal Pradesh,Andaman & Nicobar Islands,0.0
49,Haryana,Andaman & Nicobar Islands,0.0
50,Jharkhand,Andaman & Nicobar Islands,0.0
51,Jammu & Kashmir,Andaman & Nicobar Islands,0.0
52,Kerala,Andaman & Nicobar Islands,0.0
53,Karnataka,Andaman & Nicobar Islands,0.0
54,Lakshadeep,Andaman & Nicobar Islands,0.0
55,Maharashtra,Andaman & Nicobar Islands,0.0
56,Meghalaya,Andaman & Nicobar Islands,0.0
57,Manipur,Andaman & Nicobar Islands,0.0
58,Madhya Pradesh,Andaman & Nicobar Islands,0.0
59,Mizoram,Andaman & Nicobar Islands,0.0
60,Nagaland,Andaman & Nicobar Islands,0.0
61,Odisha,Andaman & Nicobar Islands,0.0
62,Punjab,Andaman & Nicobar Islands,0.0
63,Puducherry,Andaman & Nicobar Islands,0.0
64,Rajasthan,Andaman & Nicobar Islands,0.0
65,Sikkim,Andaman & Nicobar Islands,0.0
66,Telangana,Andaman & Nicobar Islands,0.0
67,Tamil Nadu,Andaman & Nicobar Islands,0.0
68,Tripura,Andaman & Nicobar Islands,0.0
69,Uttarakhand,Andaman & Nicobar Islands,0.0
70,Uttar Pradesh,Andaman & Nicobar Islands,0.0
71,West Bengal,Andaman & Nicobar Islands,0.0
72,Andhra Pradesh,Arunachal Pradesh,0.0
73,Andaman & Nicobar Islands,Arunachal Pradesh,0.0
74,Arunachal Pradesh,Arunachal Pradesh,0.0
75,Assam,Arunachal Pradesh,0.0
76,Bihar,Arunachal Pradesh,0.0
77,Chattisgarh,Arunachal Pradesh,0.0
78,Chandigarh,Arunachal Pradesh,0.0
79,Daman & Diu,Arunachal Pradesh,0.0
80,Delhi,Arunachal Pradesh,0.0
81,Dadra & Nagar Haveli,Arunachal Pradesh,0.0
82,Goa,Arunachal Pradesh,0.0
83,Gujarat,Arunachal Pradesh,0.0
84,Himachal Pradesh,Arunachal Pradesh,0.0
85,Haryana,Arunachal Pradesh,260.8333333333333
86,Jharkhand,Arunachal Pradesh,0.0
87,Jammu & Kashmir,Arunachal Pradesh,0.0
88,Kerala,Arunachal Pradesh,0.0
89,Karnataka,Arunachal Pradesh,0.0
90,Lakshadeep,Arunachal Pradesh,0.0
91,Maharashtra,Arunachal Pradesh,0.0
92,Meghalaya,Arunachal Pradesh,0.0
93,Manipur,Arunachal Pradesh,0.0
94,Madhya Pradesh,Arunachal Pradesh,0.0
95,Mizoram,Arunachal Pradesh,0.0
96,Nagaland,Arunachal Pradesh,0.0
97,Odisha,Arunachal Pradesh,0.0
98,Punjab,Arunachal Pradesh,805.75
99,Puducherry,Arunachal Pradesh,0.0
100,Rajasthan,Arunachal Pradesh,0.0
101,Sikkim,Arunachal Pradesh,0.0
102,Telangana,Arunachal Pradesh,0.0
103,Tamil Nadu,Arunachal Pradesh,0.0
104,Tripura,Arunachal Pradesh,0.0
105,Uttarakhand,Arunachal Pradesh,0.0
106,Uttar Pradesh,Arunachal Pradesh,0.0
107,West Bengal,Arunachal Pradesh,0.0
108,Andhra Pradesh,Assam,2194.741666666667
109,Andaman & Nicobar Islands,Assam,0.0
110,Arunachal Pradesh,Assam,0.0
111,Assam,Assam,0.0
112,Bihar,Assam,1297.4833333333333
113,Chattisgarh,Assam,653.625
114,Chandigarh,Assam,220.25
115,Daman & Diu,Assam,0.0
116,Delhi,Assam,2297.233333333333
117,Dadra & Nagar Haveli,Assam,0.0
118,Goa,Assam,0.0
119,Gujarat,Assam,0.0
120,Himachal Pradesh,Assam,0.0
121,Haryana,Assam,36075.166666666664
122,Jharkhand,Assam,0.0
123,Jammu & Kashmir,Assam,0.0
124,Kerala,Assam,0.0
125,Karnataka,Assam,208.54166666666666
126,Lakshadeep,Assam,0.0
127,Maharashtra,Assam,1082.3999999999999
128,Meghalaya,Assam,0.0
129,Manipur,Assam,253659.08333333334
130,Madhya Pradesh,Assam,0.0
131,Mizoram,Assam,25825.833333333332
132,Nagaland,Assam,44417.5
133,Odisha,Assam,0.0
134,Punjab,Assam,127460.625
135,Puducherry,Assam,0.0
136,Rajasthan,Assam,0.0
137,Sikkim,Assam,0.0
138,Telangana,Assam,441.25
139,Tamil Nadu,Assam,0.0
140,Tripura,Assam,1005419.5
141,Uttarakhand,Assam,884.25
142,Uttar Pradesh,Assam,6499.416666666667
143,West Bengal,Assam,2151.0
144,Andhra Pradesh,Bihar,5130.333333333333
145,Andaman & Nicobar Islands,Bihar,0.0
146,Arunachal Pradesh,Bihar,0.0
147,Assam,Bihar,15238.166666666666
148,Bihar,Bihar,387473.31666666665
149,Chattisgarh,Bihar,221.5
150,Chandigarh,Bihar,2163.3333333333335
151,Daman & Diu,Bihar,0.0
152,Delhi,Bihar,0.0
153,Dadra & Nagar Haveli,Bihar,0.0
154,Goa,Bihar,0.0
155,Gujarat,Bihar,0.0
156,Himachal Pradesh,Bihar,0.0
157,Haryana,Bihar,57167.583333333336
158,Jharkhand,Bihar,0.0
159,Jammu & Kashmir,Bihar,0.0
160,Kerala,Bihar,0.0
161,Karnataka,Bihar,0.0
162,Lakshadeep,Bihar,0.0
163,Maharashtra,Bihar,0.0
164,Meghalaya,Bihar,0.0
165,Manipur,Bihar,0.0
166,Madhya Pradesh,Bihar,0.0
167,Mizoram,Bihar,0.0
168,Nagaland,Bihar,0.0
169,Odisha,Bihar,0.0
170,Punjab,Bihar,163455.38333333333
171,Puducherry,Bihar,0.0
172,Rajasthan,Bihar,0.0
173,Sikkim,Bihar,0.0
174,Telangana,Bihar,0.0
175,Tamil Nadu,Bihar,240.75
176,Tripura,Bihar,8514.166666666666
177,Uttarakhand,Bihar,442.0
178,Uttar Pradesh,Bihar,3549.5
179,West Bengal,Bihar,12099.433333333334
180,Andhra Pradesh,Chattisgarh,6424855.916666667
181,Andaman & Nicobar Islands,Chattisgarh,0.0
182,Arunachal Pradesh,Chattisgarh,0.0
183,Assam,Chattisgarh,338101.1666666667
184,Bihar,Chattisgarh,3644678.3333333335
185,Chattisgarh,Chattisgarh,0.0
186,Chandigarh,Chattisgarh,4442.5
187,Daman & Diu,Chattisgarh,0.0
188,Delhi,Chattisgarh,8820.5
189,Dadra & Nagar Haveli,Chattisgarh,0.0
190,Goa,Chattisgarh,86374.33333333333
191,Gujarat,Chattisgarh,156901.66666666666
192,Himachal Pradesh,Chattisgarh,8634.166666666666
193,Haryana,Chattisgarh,16254.916666666666
194,Jharkhand,Chattisgarh,5897456.5
195,Jammu & Kashmir,Chattisgarh,21708.333333333332
196,Kerala,Chattisgarh,630839.5
197,Karnataka,Chattisgarh,1146844.4166666667
198,Lakshadeep,Chattisgarh,0.0
199,Maharashtra,Chattisgarh,3363066.8333333335
200,Meghalaya,Chattisgarh,0.0
201,Manipur,Chattisgarh,2154.1666666666665
202,Madhya Pradesh,Chattisgarh,243047.08333333334
203,Mizoram,Chattisgarh,2200.0
204,Nagaland,Chattisgarh,24085.666666666668
205,Odisha,Chattisgarh,24580.0
206,Punjab,Chattisgarh,54640.666666666664
207,Puducherry,Chattisgarh,0.0
208,Rajasthan,Chattisgarh,1275.0
209,Sikkim,Chattisgarh,0.0
210,Telangana,Chattisgarh,0.0
211,Tamil Nadu,Chattisgarh,4327139.0
212,Tripura,Chattisgarh,0.0
213,Uttarakhand,Chattisgarh,2292.5
214,Uttar Pradesh,Chattisgarh,6639.166666666667
215,West Bengal,Chattisgarh,1269617.0
216,Andhra Pradesh,Chandigarh,0.0
217,Andaman & Nicobar Islands,Chandigarh,0.0
218,Arunachal Pradesh,Chandigarh,0.0
219,Assam,Chandigarh,48350.833333333336
220,Bihar,Chandigarh,98988.33333333333
221,Chattisgarh,Chandigarh,0.0
222,Chandigarh,Chandigarh,0.0
223,Daman & Diu,Chandigarh,0.0
224,Delhi,Chandigarh,4420.0
225,Dadra & Nagar Haveli,Chandigarh,0.0
226,Goa,Chandigarh,0.0
227,Gujarat,Chandigarh,0.0
228,Himachal Pradesh,Chandigarh,0.0
229,Haryana,Chandigarh,0.0
230,Jharkhand,Chandigarh,0.0
231,Jammu & Kashmir,Chandigarh,10839.166666666666
232,Kerala,Chandigarh,2202.5
233,Karnataka,Chandigarh,47044.166666666664
234,Lakshadeep,Chandigarh,0.0
235,Maharashtra,Chandigarh,2202.5
236,Meghalaya,Chandigarh,0.0
237,Manipur,Chandigarh,0.0
238,Madhya Pradesh,Chandigarh,0.0
239,Mizoram,Chandigarh,0.0
240,Nagaland,Chandigarh,4412.5
241,Odisha,Chandigarh,0.0
242,Punjab,Chandigarh,0.0
243,Puducherry,Chandigarh,0.0
244,Rajasthan,Chandigarh,0.0
245,Sikkim,Chandigarh,0.0
246,Telangana,Chandigarh,0.0
247,Tamil Nadu,Chandigarh,8776.666666666666
248,Tripura,Chandigarh,0.0
249,Uttarakhand,Chandigarh,0.0
250,Uttar Pradesh,Chandigarh,16276.666666666666
251,West Bengal,Chandigarh,0.0
252,Andhra Pradesh,Daman & Diu,0.0
253,Andaman & Nicobar Islands,Daman & Diu,0.0
254,Arunachal Pradesh,Daman & Diu,0.0
255,Assam,Daman & Diu,0.0
256,Bihar,Daman & Diu,0.0
257,Chattisgarh,Daman & Diu,0.0
258,Chandigarh,Daman & Diu,0.0
259,Daman & Diu,Daman & Diu,0.0
260,Delhi,Daman & Diu,0.0
261,Dadra & Nagar Haveli,Daman & Diu,0.0
262,Goa,Daman & Diu,0.0
263,Gujarat,Daman & Diu,0.0
264,Himachal Pradesh,Daman & Diu,0.0
265,Haryana,Daman & Diu,0.0
266,Jharkhand,Daman & Diu,0.0
267,Jammu & Kashmir,Daman & Diu,0.0
268,Kerala,Daman & Diu,0.0
269,Karnataka,Daman & Diu,0.0
270,Lakshadeep,Daman & Diu,0.0
271,Maharashtra,Daman & Diu,0.0
272,Meghalaya,Daman & Diu,0.0
273,Manipur,Daman & Diu,0.0
274,Madhya Pradesh,Daman & Diu,0.0
275,Mizoram,Daman & Diu,0.0
276,Nagaland,Daman & Diu,0.0
277,Odisha,Daman & Diu,0.0
278,Punjab,Daman & Diu,0.0
279,Puducherry,Daman & Diu,0.0
280,Rajasthan,Daman & Diu,0.0
281,Sikkim,Daman & Diu,0.0
282,Telangana,Daman & Diu,0.0
283,Tamil Nadu,Daman & Diu,0.0
284,Tripura,Daman & Diu,0.0
285,Uttarakhand,Daman & Diu,0.0
286,Uttar Pradesh,Daman & Diu,0.0
287,West Bengal,Daman & Diu,0.0
288,Andhra Pradesh,Delhi,0.0
289,Andaman & Nicobar Islands,Delhi,0.0
290,Arunachal Pradesh,Delhi,0.0
291,Assam,Delhi,188098.0
292,Bihar,Delhi,0.0
293,Chattisgarh,Delhi,0.0
294,Chandigarh,Delhi,54274.166666666664
295,Daman & Diu,Delhi,0.0
296,Delhi,Delhi,0.0
297,Dadra & Nagar Haveli,Delhi,0.0
298,Goa,Delhi,0.0
299,Gujarat,Delhi,32245.0
300,Himachal Pradesh,Delhi,6695.833333333333
301,Haryana,Delhi,0.0
302,Jharkhand,Delhi,0.0
303,Jammu & Kashmir,Delhi,0.0
304,Kerala,Delhi,0.0
305,Karnataka,Delhi,0.0
306,Lakshadeep,Delhi,0.0
307,Maharashtra,Delhi,0.0
308,Meghalaya,Delhi,0.0
309,Manipur,Delhi,0.0
310,Madhya Pradesh,Delhi,0.0
311,Mizoram,Delhi,0.0
312,Nagaland,Delhi,17926.666666666668
313,Odisha,Delhi,0.0
314,Punjab,Delhi,0.0
315,Puducherry,Delhi,0.0
316,Rajasthan,Delhi,0.0
317,Sikkim,Delhi,0.0
318,Telangana,Delhi,0.0
319,Tamil Nadu,Delhi,0.0
320,Tripura,Delhi,9341.666666666666
321,Uttarakhand,Delhi,0.0
322,Uttar Pradesh,Delhi,0.0
323,West Bengal,Delhi,21913.333333333332
324,Andhra Pradesh,Dadra & Nagar Haveli,0.0
325,Andaman & Nicobar Islands,Dadra & Nagar Haveli,0.0
326,Arunachal Pradesh,Dadra & Nagar Haveli,0.0
327,Assam,Dadra & Nagar Haveli,0.0
328,Bihar,Dadra & Nagar Haveli,0.0
329,Chattisgarh,Dadra & Nagar Haveli,0.0
330,Chandigarh,Dadra & Nagar Haveli,0.0
331,Daman & Diu,Dadra & Nagar Haveli,0.0
332,Delhi,Dadra & Nagar Haveli,0.0
333,Dadra & Nagar Haveli,Dadra & Nagar Haveli,0.0
334,Goa,Dadra & Nagar Haveli,0.0
335,Gujarat,Dadra & Nagar Haveli,0.0
336,Himachal Pradesh,Dadra & Nagar Haveli,0.0
337,Haryana,Dadra & Nagar Haveli,0.0
338,Jharkhand,Dadra & Nagar Haveli,0.0
339,Jammu & Kashmir,Dadra & Nagar Haveli,0.0
340,Kerala,Dadra & Nagar Haveli,0.0
341,Karnataka,Dadra & Nagar Haveli,0.0
342,Lakshadeep,Dadra & Nagar Haveli,0.0
343,Maharashtra,Dadra & Nagar Haveli,0.0
344,Meghalaya,Dadra & Nagar Haveli,0.0
345,Manipur,Dadra & Nagar Haveli,0.0
346,Madhya Pradesh,Dadra & Nagar Haveli,0.0
347,Mizoram,Dadra & Nagar Haveli,0.0
348,Nagaland,Dadra & Nagar Haveli,0.0
349,Odisha,Dadra & Nagar Haveli,0.0
350,Punjab,Dadra & Nagar Haveli,0.0
351,Puducherry,Dadra & Nagar Haveli,0.0
352,Rajasthan,Dadra & Nagar Haveli,0.0
353,Sikkim,Dadra & Nagar Haveli,0.0
354,Telangana,Dadra & Nagar Haveli,0.0
355,Tamil Nadu,Dadra & Nagar Haveli,0.0
356,Tripura,Dadra & Nagar Haveli,0.0
357,Uttarakhand,Dadra & Nagar Haveli,0.0
358,Uttar Pradesh,Dadra & Nagar Haveli,0.0
359,West Bengal,Dadra & Nagar Haveli,0.0
360,Andhra Pradesh,Goa,0.0
361,Andaman & Nicobar Islands,Goa,0.0
362,Arunachal Pradesh,Goa,0.0
363,Assam,Goa,0.0
364,Bihar,Goa,0.0
365,Chattisgarh,Goa,0.0
366,Chandigarh,Goa,0.0
367,Daman & Diu,Goa,0.0
368,Delhi,Goa,0.0
369,Dadra & Nagar Haveli,Goa,0.0
370,Goa,Goa,0.0
371,Gujarat,Goa,0.0
372,Himachal Pradesh,Goa,0.0
373,Haryana,Goa,0.0
374,Jharkhand,Goa,0.0
375,Jammu & Kashmir,Goa,0.0
376,Kerala,Goa,2215.0
377,Karnataka,Goa,0.0
378,Lakshadeep,Goa,0.0
379,Maharashtra,Goa,4400.833333333333
380,Meghalaya,Goa,0.0
381,Manipur,Goa,0.0
382,Madhya Pradesh,Goa,0.0
383,Mizoram,Goa,0.0
384,Nagaland,Goa,0.0
385,Odisha,Goa,0.0
386,Punjab,Goa,4528.833333333333
387,Puducherry,Goa,0.0
388,Rajasthan,Goa,0.0
389,Sikkim,Goa,0.0
390,Telangana,Goa,0.0
391,Tamil Nadu,Goa,0.0
392,Tripura,Goa,0.0
393,Uttarakhand,Goa,0.0
394,Uttar Pradesh,Goa,0.0
395,West Bengal,Goa,0.0
396,Andhra Pradesh,Gujarat,0.0
397,Andaman & Nicobar Islands,Gujarat,0.0
398,Arunachal Pradesh,Gujarat,0.0
399,Assam,Gujarat,0.0
400,Bihar,Gujarat,49.25
401,Chattisgarh,Gujarat,0.0
402,Chandigarh,Gujarat,0.0
403,Daman & Diu,Gujarat,0.0
404,Delhi,Gujarat,0.0
405,Dadra & Nagar Haveli,Gujarat,0.0
406,Goa,Gujarat,0.0
407,Gujarat,Gujarat,27659.583333333332
408,Himachal Pradesh,Gujarat,0.0
409,Haryana,Gujarat,5067.083333333333
410,Jharkhand,Gujarat,0.0
411,Jammu & Kashmir,Gujarat,0.0
412,Kerala,Gujarat,0.0
413,Karnataka,Gujarat,0.0
414,Lakshadeep,Gujarat,0.0
415,Maharashtra,Gujarat,0.0
416,Meghalaya,Gujarat,0.0
417,Manipur,Gujarat,0.0
418,Madhya Pradesh,Gujarat,0.0
419,Mizoram,Gujarat,0.0
420,Nagaland,Gujarat,0.0
421,Odisha,Gujarat,0.0
422,Punjab,Gujarat,46968.4
423,Puducherry,Gujarat,0.0
424,Rajasthan,Gujarat,0.0
425,Sikkim,Gujarat,0.0
