Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode,objective_mode
0.0,3053171498.401806,90638010778.00787,3.053171498401806,90.63801077800787,Optimal,1,True,1788,741,profit,normalized
0.01,3052465126.4828444,90638167090.98647,3.0524651264828444,90.63816709098647,Optimal,1,True,1788,741,profit,normalized
0.02,3044907937.1412854,90641554342.68173,3.0449079371412853,90.64155434268173,Optimal,1,True,1788,741,profit,normalized
0.03,3041722024.803168,90644212918.16185,3.041722024803168,90.64421291816186,Optimal,1,True,1788,741,profit,normalized
0.04,3037726000.999509,90649306505.90448,3.037726000999509,90.64930650590448,Optimal,1,True,1788,741,profit,normalized
0.05,3037726000.999509,90649306505.90448,3.037726000999509,90.64930650590448,Optimal,1,True,1788,741,profit,normalized
0.06,3027200290.4606495,90670943769.33054,3.0272002904606494,90.67094376933053,Optimal,1,True,1788,741,profit,normalized
0.07,3023109685.416459,90681463867.17654,3.023109685416459,90.68146386717655,Optimal,1,True,1788,741,profit,normalized
0.08,3022764299.2201214,90682439288.74289,3.0227642992201216,90.68243928874288,Optimal,1,True,1788,741,profit,normalized
0.09,2987688174.351487,90799490340.61792,2.9876881743514874,90.79949034061792,Optimal,1,True,1788,741,profit,normalized
0.1,2975147795.0211477,90848869349.3858,2.975147795021148,90.84886934938581,Optimal,1,True,1788,741,profit,normalized
0.11,2975147356.321381,90848871271.06802,2.975147356321381,90.84887127106802,Optimal,1,True,1788,741,profit,normalized
0.12,2975147356.321381,90848871271.06802,2.975147356321381,90.84887127106802,Optimal,1,True,1788,741,profit,normalized
0.13,2975147356.321381,90848871271.06802,2.975147356321381,90.84887127106802,Optimal,1,True,1788,741,profit,normalized
0.14,2968933860.510726,90883404757.78423,2.968933860510726,90.88340475778422,Optimal,1,True,1788,741,profit,normalized
0.15,2968400338.0755014,90886619671.31187,2.9684003380755013,90.88661967131188,Optimal,1,True,1788,741,profit,normalized
0.16,2968400338.0755014,90886619671.31187,2.9684003380755013,90.88661967131188,Optimal,1,True,1788,741,profit,normalized
0.17,2966149720.9029155,90902144592.72716,2.9661497209029153,90.90214459272715,Optimal,1,True,1788,741,profit,normalized
0.18,2961797947.3477373,90934971953.26625,2.9617979473477374,90.93497195326626,Optimal,1,True,1788,741,profit,normalized
0.19,2957033918.658291,90974032295.53891,2.957033918658291,90.9740322955389,Optimal,1,True,1788,741,profit,normalized
0.2,2932345989.736955,91186596340.2772,2.9323459897369553,91.1865963402772,Optimal,1,True,1788,741,profit,normalized
0.21,2932345989.736955,91186596340.2772,2.9323459897369553,91.1865963402772,Optimal,1,True,1788,741,profit,normalized
0.22,2930750985.650813,91201869413.0701,2.930750985650813,91.2018694130701,Optimal,1,True,1788,741,profit,normalized
0.23,2917196175.564776,91342023171.26143,2.9171961755647757,91.34202317126143,Optimal,1,True,1788,741,profit,normalized
0.24,2865543013.908263,91917774987.22452,2.865543013908263,91.91777498722452,Optimal,1,True,1788,741,profit,normalized
0.25,2864902673.540426,91925357528.23059,2.864902673540426,91.92535752823059,Optimal,1,True,1788,741,profit,normalized
0.26,2864441315.742248,91930903910.67477,2.864441315742248,91.93090391067477,Optimal,1,True,1788,741,profit,normalized
0.27,2862862616.721625,91951723784.39738,2.8628626167216247,91.95172378439739,Optimal,1,True,1788,741,profit,normalized
0.28,2862855795.1986036,91951816943.43329,2.8628557951986036,91.95181694343329,Optimal,1,True,1788,741,profit,normalized
0.29,2862855795.1986036,91951816943.43329,2.8628557951986036,91.95181694343329,Optimal,1,True,1788,741,profit,normalized
0.3,2861213086.8916264,91975933230.99747,2.8612130868916266,91.97593323099747,Optimal,1,True,1788,741,profit,normalized
0.31,2846260508.1743655,92209504732.79802,2.8462605081743657,92.20950473279802,Optimal,1,True,1788,741,profit,normalized
0.32,2845726671.7754474,92218403766.2528,2.8457266717754472,92.2184037662528,Optimal,1,True,1788,741,profit,normalized
0.33,2845726671.7754474,92218403766.2528,2.8457266717754472,92.2184037662528,Optimal,1,True,1788,741,profit,normalized
0.34,2838236853.1486545,92353586485.75533,2.8382368531486546,92.35358648575533,Optimal,1,True,1788,741,profit,normalized
0.35,2838236853.1486545,92353586485.75533,2.8382368531486546,92.35358648575533,Optimal,1,True,1788,741,profit,normalized
0.36,2826946373.931341,92578787386.91797,2.826946373931341,92.57878738691797,Optimal,1,True,1788,741,profit,normalized
0.37,2826289243.196651,92592160319.3965,2.826289243196651,92.5921603193965,Optimal,1,True,1788,741,profit,normalized
0.38,2805051875.123444,93054960746.12592,2.805051875123444,93.05496074612591,Optimal,1,True,1788,741,profit,normalized
0.39,2805051875.123444,93054960746.12592,2.805051875123444,93.05496074612591,Optimal,1,True,1788,741,profit,normalized
0.4,2805044477.5004797,93055134293.238,2.8050444775004797,93.05513429323801,Optimal,1,True,1788,741,profit,normalized
0.41,2804968414.9960575,93056982609.33618,2.8049684149960576,93.05698260933619,Optimal,1,True,1788,741,profit,normalized
0.42,2801827588.4770417,93136360309.74292,2.8018275884770416,93.13636030974293,Optimal,1,True,1788,741,profit,normalized
0.43,2801757632.531474,93138204306.14761,2.801757632531474,93.13820430614761,Optimal,1,True,1788,741,profit,normalized
0.44,2801011025.818991,93158711975.4134,2.8010110258189913,93.15871197541341,Optimal,1,True,1788,741,profit,normalized
0.45,2801011025.818991,93158711975.4134,2.8010110258189913,93.15871197541341,Optimal,1,True,1788,741,profit,normalized
0.46,2798864589.1405644,93222617740.34906,2.7988645891405644,93.22261774034907,Optimal,1,True,1788,741,profit,normalized
0.47,2793774062.523586,93383042054.13911,2.793774062523586,93.38304205413911,Optimal,1,True,1788,741,profit,normalized
0.48,2793072307.2099543,93405667837.14937,2.7930723072099544,93.40566783714937,Optimal,1,True,1788,741,profit,normalized
0.49,2793072307.2099543,93405667837.14937,2.7930723072099544,93.40566783714937,Optimal,1,True,1788,741,profit,normalized
0.5,2793072307.2099543,93405667837.14937,2.7930723072099544,93.40566783714937,Optimal,1,True,1788,741,profit,normalized
0.51,2791267207.621431,93470723197.98114,2.7912672076214307,93.47072319798114,Optimal,1,True,1788,741,profit,normalized
0.52,2788895947.868898,93560802881.15875,2.7888959478688977,93.56080288115875,Optimal,1,True,1788,741,profit,normalized
0.53,2761892474.731782,94627128367.03966,2.761892474731782,94.62712836703966,Optimal,1,True,1788,741,profit,normalized
0.54,2761892474.731782,94627128367.03966,2.761892474731782,94.62712836703966,Optimal,1,True,1788,741,profit,normalized
0.55,2761361891.498546,94649617451.28546,2.761361891498546,94.64961745128547,Optimal,1,True,1788,741,profit,normalized
0.56,2761361891.498546,94649617451.28546,2.761361891498546,94.64961745128547,Optimal,1,True,1788,741,profit,normalized
0.57,2760013790.008814,94711899824.31865,2.7600137900088137,94.71189982431865,Optimal,1,True,1788,741,profit,normalized
0.58,2759699230.283795,94727088925.81264,2.759699230283795,94.72708892581264,Optimal,1,True,1788,741,profit,normalized
0.59,2758500872.924858,94786551401.43144,2.758500872924858,94.78655140143144,Optimal,1,True,1788,741,profit,normalized
0.6,2756544281.129603,94887344904.0507,2.756544281129603,94.8873449040507,Optimal,1,True,1788,741,profit,normalized
0.61,2756544281.129603,94887344904.0507,2.756544281129603,94.8873449040507,Optimal,1,True,1788,741,profit,normalized
0.62,2755133135.887237,94966506007.98386,2.755133135887237,94.96650600798385,Optimal,1,True,1788,741,profit,normalized
0.63,2753032526.8350487,95091879688.56158,2.7530325268350486,95.09187968856159,Optimal,1,True,1788,741,profit,normalized
0.64,2753032299.4653864,95091893822.28888,2.7530322994653864,95.09189382228888,Optimal,1,True,1788,741,profit,normalized
0.65,2752618342.87083,95118666309.12137,2.75261834287083,95.11866630912137,Optimal,1,True,1788,741,profit,normalized
0.66,2748347875.6276193,95410498131.60484,2.748347875627619,95.41049813160484,Optimal,1,True,1788,741,profit,normalized
0.67,2746942139.095593,95511452751.2907,2.746942139095593,95.51145275129069,Optimal,1,True,1788,741,profit,normalized
0.68,2745337688.1156898,95631330467.44118,2.74533768811569,95.63133046744117,Optimal,1,True,1788,741,profit,normalized
0.69,2744759392.6791363,95675814280.93,2.7447593926791365,95.67581428093,Optimal,1,True,1788,741,profit,normalized
0.7,2743893777.714829,95746460751.41791,2.743893777714829,95.74646075141791,Optimal,1,True,1788,741,profit,normalized
0.71,2743545510.8975654,95776496340.17357,2.7435455108975653,95.77649634017357,Optimal,1,True,1788,741,profit,normalized
0.72,2742738236.446792,95848081609.10144,2.742738236446792,95.84808160910144,Optimal,1,True,1788,741,profit,normalized
0.73,2740238029.7673345,96082045695.59183,2.7402380297673345,96.08204569559183,Optimal,1,True,1788,741,profit,normalized
0.74,2733852087.6576447,96719305429.10551,2.733852087657645,96.71930542910552,Optimal,1,True,1788,741,profit,normalized
0.75,2730375029.685111,97077821836.79373,2.7303750296851113,97.07782183679373,Optimal,1,True,1788,741,profit,normalized
0.76,2730366123.9627066,97078808891.28381,2.7303661239627064,97.07880889128381,Optimal,1,True,1788,741,profit,normalized
0.77,2729562239.1021576,97170296806.98553,2.7295622391021577,97.17029680698553,Optimal,1,True,1788,741,profit,normalized
0.78,2725312241.6067863,97692003136.43762,2.7253122416067863,97.69200313643762,Optimal,1,True,1788,741,profit,normalized
0.79,2725312241.6067863,97692003136.43762,2.7253122416067863,97.69200313643762,Optimal,1,True,1788,741,profit,normalized
0.8,2725312241.6067863,97692003136.43762,2.7253122416067863,97.69200313643762,Optimal,1,True,1788,741,profit,normalized
0.81,2724493262.218537,97812777446.03545,2.724493262218537,97.81277744603544,Optimal,1,True,1788,741,profit,normalized
0.82,2724336277.346906,97837114154.30397,2.724336277346906,97.83711415430398,Optimal,1,True,1788,741,profit,normalized
0.83,2722534933.660659,98143233103.66373,2.722534933660659,98.14323310366373,Optimal,1,True,1788,741,profit,normalized
0.84,2721785138.4336314,98280073337.28215,2.7217851384336313,98.28007333728215,Optimal,1,True,1788,741,profit,normalized
0.85,2720905802.203164,98455283503.02864,2.720905802203164,98.45528350302864,Optimal,1,True,1788,741,profit,normalized
0.86,2720891333.724305,98458253311.9911,2.720891333724305,98.4582533119911,Optimal,1,True,1788,741,profit,normalized
0.87,2720682399.931732,98506836774.68599,2.720682399931732,98.506836774686,Optimal,1,True,1788,741,profit,normalized
0.88,2720295865.702857,98605358934.53627,2.720295865702857,98.60535893453627,Optimal,1,True,1788,741,profit,normalized
0.89,2720278419.937634,98610355627.87267,2.720278419937634,98.61035562787266,Optimal,1,True,1788,741,profit,normalized
0.9,2718663768.9717355,99098217513.9764,2.7186637689717355,99.0982175139764,Optimal,1,True,1788,741,profit,normalized
0.91,2718204292.7810774,99258992905.57362,2.7182042927810772,99.25899290557362,Optimal,1,True,1788,741,profit,normalized
0.92,2717905996.80932,99372415097.06496,2.71790599680932,99.37241509706496,Optimal,1,True,1788,741,profit,normalized
0.93,2717739042.606228,99442435358.3607,2.717739042606228,99.4424353583607,Optimal,1,True,1788,741,profit,normalized
0.94,2717672203.346657,99479033836.55043,2.7176722033466567,99.47903383655043,Optimal,1,True,1788,741,profit,normalized
0.95,2716396111.783237,100304766142.16402,2.716396111783237,100.30476614216401,Optimal,1,True,1788,741,profit,normalized
0.96,2716323664.6273475,100361309944.99385,2.7163236646273474,100.36130994499385,Optimal,1,True,1788,741,profit,normalized
0.97,2715852674.6895533,100815931911.20323,2.715852674689553,100.81593191120324,Optimal,1,True,1788,741,profit,normalized
0.98,2715221729.7572174,101716718867.08803,2.7152217297572174,101.71671886708803,Optimal,1,True,1788,741,profit,normalized
0.99,2715167531.623845,101856213118.08037,2.715167531623845,101.85621311808036,Optimal,1,True,1788,741,profit,normalized
1.0,2714998382.865953,102583718396.28038,2.714998382865953,102.58371839628037,Optimal,1,True,1788,741,profit,normalized
